sex	age	age2	population	suiciderate	selfharmrate
Males	00-04 yrs	0	111871065	0	0.162939846
Males	05-09 yrs	5	111734405	0.04	3.46136399
Males	10-14 yrs	10	118222191	1.65	40.57640975
Males	15-19 yrs	15	121559927	11.8	206.4542841
Males	20-24 yrs	20	117990967	21.08	248.6401771
Males	25-29 yrs	25	110795467	21.24	204.6220477
Males	30-34 yrs	30	110147304	21.4	189.489473
Males	35-39 yrs	35	114664994	22.86	171.0191831
Males	40-44 yrs	40	120430411	24.99	168.0402046
Males	45-49 yrs	45	120486134	26.74	140.1757399
Males	50-54 yrs	50	110832646	26.89	104.3500619
Males	55-59 yrs	55	93983867	25.46	62.49181302
Males	60-64 yrs	60	74200443	22.47	38.7395602
Males	65-69 yrs	65	56138023	22.13	26.79982887
Males	70-74 yrs	70	44156289	25.17	16.47016353
Males	75-79 yrs	75	34710198	31.42	17.72596261
Males	80-84 yrs	80	23804612	39	20.44364738
Males	85+ yrs	85	16899374	47.87	21.32632818
Females	00-04 yrs	0	107061816	0	0.318207254
Females	05-09 yrs	5	106831344	0.01	2.542235001
Females	10-14 yrs	10	112687304	0.7	141.6248623
Females	15-19 yrs	15	114860619	2.92	433.4283192
Females	20-24 yrs	20	112827341	3.86	303.6641185
Females	25-29 yrs	25	109148438	4.66	250.2187879
Females	30-34 yrs	30	109400312	5.28	227.4472682
Females	35-39 yrs	35	115265676	6.36	213.3432093
Females	40-44 yrs	40	122216621	7.77	201.9711487
Females	45-49 yrs	45	123741397	8.56	165.7182412
Females	50-54 yrs	50	115556073	8.45	110.5572785
Females	55-59 yrs	55	99924316	7.41	73.82453708
Females	60-64 yrs	60	80832596	5.96	45.37243582
Females	65-69 yrs	65	63769002	4.53	31.50049334
Females	70-74 yrs	70	53599191	3.96	20.69952383
Females	75-79 yrs	75	46833283	3.92	17.66003071
Females	80-84 yrs	80	37486063	3.87	15.05574139
Females	85+ yrs	85	37164237	3.57	13.15484879
