id,coder,content_type,culture,extract,Cause_type
1,calsbeek,Case,Akan,"At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.",unknown
2,calsbeek,Cultural model,Akan,"A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.","military_defeat,failure or sense of "
3,calsbeek,Case,Akan,"As regards the suicide, the presumption was that he had killed himself because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life. The dead body was tried again and found guilty. Where the motive was not known the sentence was: 'Whatever evil you did, since you did not bring it before the chief to be inquired into with a good hearing...then have we found you guilty.' The relatives, on behalf of the suicide, acknowledged the evil he had done. A sentence of death was duly passed and the dead body was beheaded. This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.",accus_commit_wrongdo
4,calsbeek,Case,Akan,"it was that of telling or expecting the person found guilty to commit suicide.(42) The same Rev. Mader reports another case of ""carrying the corpse"", where the ""guilty person"" was a mother of eight children. Through fear of the government-since two soldiers happened to be in town-she was not lynched but socially ostracized. Everybody avoided her. Her relatives told her to take courage and kill herself. She even went to see the paramount chief to ask for her death, but was refused-again for fear of the Government. She was then taken into custody in the house of an elder. There the constant mockery so distressed her, that she finally asked permission to fetch firewood in the bush and there she hanged herself.","accus_commit_wrongdo,rejection,ridicule ,alienation,significant loss of ,emotional distress"
5,calsbeek,Cultural model,Akan,"After the Colonial Government had stopped this lynching, another form of punishment became more frequent: it was that of telling or expecting the person found guilty to commit suicide.",accus_commit_wrongdo
6,calsbeek,Case,Akan,"About ten months ago the patient and five of her relatives came to Bredi to drink the shrine-medicine, to ascertain whether any of them had by witchcraft caused the brother's madness (the implication being that they felt themselves innocent and wished for vindication). About six weeks later the patient began sitting about miserably, scratching her body and complaining of headache. She became unable either to work or sleep and was unwilling to speak. When her child approached her she drove it away. Her husband then left her and took the child, whereafter she sat rocking herself, and moaning ""My child, my child"". Then she said she had been ""caught"" by the medicine for witchcraft. She said she had caused her brother's madness because he had refused to give her a due share of the family cocoa-farms. She also said she had by witchcraft damaged her own womb so that it had borne but one child. The name of her obayi was Huhuke. Then she went into the bush to hang herself but was seen trying to fling the rope round a branch. For about four months she has refused to drink water, saying that when she does she feels the water walking over her head. This is the only absurd thing she has said. She complained of ""basa-basa"" dreams but could not relate them. She always seemed frightened, but could not say of what.",spirit_attack
7,calsbeek,Cultural model,Akan,"Those who met inauspicious deaths (atofo), including those who killed themselves, showed by the manner of their [p. 38] deaths that they were guilty of some hidden offence (and a suicide could be tried after death).",accus_commit_wrongdo
8,calsbeek,Case,Akan,"Yeboa, no doubt, committed suicide as is the custom when a king has failed his people...",military_defeat
10,calsbeek,Case,Akan,"When the Ashanti found the co-ruler still adorned with a profusion of gold ornaments, they believed he was the Bonohene, and they thought it fitting to carry him to Kumasi in state so that the people could see what a mighty king they had captured. He was therefore carried in a litter, attended by as many servants as the Ashanti could find for him. When they passed the sacred rock at Tanoboase, the co-ruler was allowed to rest there and sit in the cave, and the remnants of the vessels from which he ate and drank are still there today. Later he asked for his kete drums, which he had not heard played since the disaster, and a servant was sent to Manso to look for them. The Bonohene Ameyaw Kwaakye who had been taken into safety by some faithful followers finally committed suicide in the woods near Tekyiman. A small undecorated earth dome, no more than about two feet in diameter, marks the place where he is said to lie; a poor grave for a king who was once so wealthy and great. The Queenmother Dwambara Akenten hid near Amona, a few miles north of Manso, from where she secretly ruled the remnants of her people for another two years, then she died. Her sister, her co-ruler who had hidden near Boyem with some of the princes and princesses, was betrayed and taken into captivity to Kumasi, where she gave herself out as the Bonohemmaa.",military_defeat
13,calsbeek,Cultural model,Akan,the action of taking one's own life was considered as honourable and acclaimed as praiseworthy...where a man commits suicide to wipe out what he considers his dishonour and because he cannot stand the ridicule of his companions.,ridicule 
14,calsbeek,Cultural model,Akan,"Suicide was considered a sin when it was carried out to avoid the consequences of some wrongful deed, or when, after investigation, it was not possible to ascribe any motive for the act. The immediate superior (if himself a Chief under a greater Chief) of a subject who had violated any of the great tribal or national taboos, and thereby incurred the death penalty, appears to have been [p. 302] held responsible that his subject did not escape punishment by committing suicide.",accus_commit_wrongdo
15,calsbeek,Case,Akan,"During the visit of a person of considerable importance, who was much beloved by the loyal and generous-hearted Ashanti, the Chief and Elders of a remote province, in common with many others, had come to do him honour. When it came to the turn of a certain old man to be presented, in bending forward to do obeisance, he, unnoticed by all but his immediate followers, inadvertently broke wind. Within an hour of the termination of the ceremony he had gone and hanged himself. He had 'disgraced' himself and his following. The universal comment in Ashanti among his fellow countrymen was that [p. 373] he had done the only right thing under the circumstances. He could never have lived down the ridicule which he might otherwise have incurred. Fadie ene ewuo a, fanyinam ewuo ('If it be a choice between disgrace and death, then death is preferable'). It was, in fact, this occasion which first made me familiar with a proverb which I later found to be universally known in Ashanti.(1)","failure or sense of ,ridicule "
16,calsbeek,Cultural model,Akan,"Again, if a number of Ashanti happened to be eating together, and one broke wind, 'the bowl of food would be placed upon that person's head that he might be used as a table'; but, added my informant, 'if the man were among friends and was well liked, the rest of the party might cover their mouths with their hands and go outside that he might not see their laughter, because they might fear that the man who had offended would go away and hang himself, should he notice that the others were laughing at him'.",unknown
