id,Conflict,Fitness_threat
3,No evidence,Evidence for
5,No evidence,Evidence for
14,No evidence,Evidence for
18,No evidence,Evidence for
19,No evidence,Evidence for
39,No evidence,Evidence for
51,No evidence,Evidence for
64,No evidence,Evidence for
71,No evidence,Evidence for
74,No evidence,Evidence for
79,No evidence,Evidence for
80,No evidence,Evidence for
81,No evidence,Evidence for
89,No evidence,Evidence for
90,No evidence,Evidence for
98,No evidence,Evidence for
103,No evidence,Evidence for
109,No evidence,Evidence for
116,No evidence,Evidence for
123,No evidence,Evidence for
126,No evidence,Evidence for
127,No evidence,Evidence for
138,No evidence,Evidence for
145,No evidence,Evidence for
164,No evidence,Evidence for
166,No evidence,Evidence for
167,No evidence,Evidence for
169,No evidence,Evidence for
174,No evidence,Evidence for
177,No evidence,Evidence for
184,No evidence,Evidence for
189,No evidence,Evidence for
219,No evidence,Evidence for
221,No evidence,Evidence for
222,No evidence,Evidence for
223,No evidence,Evidence for
235,No evidence,Evidence for
236,No evidence,Evidence for
240,No evidence,Evidence for
254,No evidence,Evidence for
269,No evidence,Evidence for
297,No evidence,Evidence for
298,No evidence,Evidence for
303,No evidence,Evidence for
311,Evidence for,Evidence for
320,No evidence,Evidence for
340,No evidence,Evidence for
346,No evidence,Evidence for
358,No evidence,Evidence for
368,No evidence,Evidence for
370,No evidence,Evidence for
406,No evidence,Evidence for
409,No evidence,Evidence for
412,No evidence,Evidence for
414,No evidence,Evidence for
425,No evidence,Evidence for
439,No evidence,Evidence for
442,No evidence,Evidence for
457,No evidence,Evidence for
460,No evidence,Evidence for
461,No evidence,Evidence for
464,No evidence,Evidence for
471,No evidence,Evidence for
478,No evidence,Evidence for
481,No evidence,Evidence for
482,No evidence,Evidence for
495,No evidence,Evidence for
503,No evidence,Evidence for
504,No evidence,Evidence for
516,No evidence,Evidence for
581,No evidence,Evidence for
630,No evidence,Evidence for
648,No evidence,Evidence for
673,No evidence,Evidence for
676,Evidence for,Evidence for
677,No evidence,Evidence for
762,Evidence for,Evidence for
770,No evidence,Evidence for
824,No evidence,Evidence for
830,No evidence,Evidence for
832,No evidence,Evidence for
834,No evidence,Evidence for
839,No evidence,Evidence for
1053,No evidence,Evidence for
1870,No evidence,Evidence for
1879,No evidence,Evidence for
1882,No evidence,Evidence for
1887,No evidence,Evidence for
1888,No evidence,Evidence for
1890,No evidence,Evidence for
1894,No evidence,Evidence for
1895,No evidence,Evidence for
1899,No evidence,Evidence for
c,No evidence,Evidence for
h,No evidence,Evidence for
i,No evidence,Evidence for
k,No evidence,Evidence for
