id	coder	content_type	culture	extract	Conflict	Evidence_Mental_Illness	Evidence_of_burdensomeness	Fitness_threat	High_RP	Low_RP	Low_lethality	Married	Motive_better_off_kin	Motive_harm_others	Motive_leverage	Motive_make_others_better_off	Outcome_better_off	Outcome_change	Outcome_others_harmed	Public_SB	SA_fitness	aggression	powerlessness
520	zgarfield	Cultural model	Bagisu	"The ancestors are believed to be able to cause a suicide, indirectly, by making life unbearable for their descendant. A person coming into contact with the spot where it took place or with the means used to cause it may be virtually contaminated and may himself commit suicide or suffer misfortune; it is also dangerous for the close kin and agnates of the suicide."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
520	syme	Cultural model	Bagisu	"The ancestors are believed to be able to cause a suicide, indirectly, by making life unbearable for their descendant. A person coming into contact with the spot where it took place or with the means used to cause it may be virtually contaminated and may himself commit suicide or suffer misfortune; it is also dangerous for the close kin and agnates of the suicide."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
521	zgarfield	Cultural model	Bagisu	A person coming into contact with the spot where it took place or with the means used to cause it may be virtually contaminated and may himself commit suicide or suffer misfortune...	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
521	syme	Cultural model	Bagisu	A person coming into contact with the spot where it took place or with the means used to cause it may be virtually contaminated and may himself commit suicide or suffer misfortune...	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
522	zgarfield	Cultural model	Bagisu	"The body is disposed of with the minimum of ritual. Only close kin attend the funeral, no drums are beaten and no mourning observed. The name of the suicide should be avoided and is not mentioned in sacrifices to the ancestors. No child may be named after a suicide. Formerly, before the introduction of burial [p. 50] practices, the corpse was thrown into thick bush where no one would be likely to come across the bones, for they carried evil. Every attempt is made to blot out the memory of the unfortunate act."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
522	syme	Cultural model	Bagisu	"The body is disposed of with the minimum of ritual. Only close kin attend the funeral, no drums are beaten and no mourning observed. The name of the suicide should be avoided and is not mentioned in sacrifices to the ancestors. No child may be named after a suicide. Formerly, before the introduction of burial [p. 50] practices, the corpse was thrown into thick bush where no one would be likely to come across the bones, for they carried evil. Every attempt is made to blot out the memory of the unfortunate act."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
524	zgarfield	Cultural model	Bagisu	"Indeed, it is often feared that a woman will resort to desperate measures if refused a divorce, so that suicide, running away or even cursing herself are often threatened by women who meet with initial resistance from their kin. (13) Though women occasionally do have a violent response, sometimes beating and even killing their husbands, the violence most feared in such situations is that of suicide. While the inquest files reveal that men commit suicide (as well as murder) more frequently than women, with 70% of the suicides recorded being those of men, a woman tempted to violence is more likely to commit suicide than murder. La Fontaine's figures (1960b: 127) show that over twice as many women commit suicide as murder (whereas men committed murder in 141 cases as compared with forty suicides). The situation in the 1960s was much the same and threats of suicide by women are hard for men to counter or ignore."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	Evidence for	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	Evidence for
524	syme	Cultural model	Bagisu	"Indeed, it is often feared that a woman will resort to desperate measures if refused a divorce, so that suicide, running away or even cursing herself are often threatened by women who meet with initial resistance from their kin. (13) Though women occasionally do have a violent response, sometimes beating and even killing their husbands, the violence most feared in such situations is that of suicide. While the inquest files reveal that men commit suicide (as well as murder) more frequently than women, with 70% of the suicides recorded being those of men, a woman tempted to violence is more likely to commit suicide than murder. La Fontaine's figures (1960b: 127) show that over twice as many women commit suicide as murder (whereas men committed murder in 141 cases as compared with forty suicides). The situation in the 1960s was much the same and threats of suicide by women are hard for men to counter or ignore."	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	Evidence for	Evidence for	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	Evidence for	Evidence for	No evidence	Evidence for	Evidence for
525	zgarfield	Cultural model	Bagisu	"When a man committed suicide in his house, the house was broken down and burned. If, however, he hanged himself on a tree, even if it was near his house, the body was cast into the grass, the tree was cut down and its roots dug up and burned near the place, but the people went on living in the house. The reason given for the destruction and burning was that the place would influence others to commit the same deed, for the house or tree was considered to convey infection.When a man committed suicide in his house, the house was broken down and burned. If, however, he hanged himself on a tree, even if it was near his house, the body was cast into the grass, the tree was cut down and its roots dug up and burned near the place, but the people went on living in the house. The reason given for the destruction and burning was that the place would influence others to commit the same deed, for the house or tree was considered to convey infection."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
525	syme	Cultural model	Bagisu	"When a man committed suicide in his house, the house was broken down and burned. If, however, he hanged himself on a tree, even if it was near his house, the body was cast into the grass, the tree was cut down and its roots dug up and burned near the place, but the people went on living in the house. The reason given for the destruction and burning was that the place would influence others to commit the same deed, for the house or tree was considered to convey infection.When a man committed suicide in his house, the house was broken down and burned. If, however, he hanged himself on a tree, even if it was near his house, the body was cast into the grass, the tree was cut down and its roots dug up and burned near the place, but the people went on living in the house. The reason given for the destruction and burning was that the place would influence others to commit the same deed, for the house or tree was considered to convey infection."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
526	zgarfield	Cultural model	Bagisu	"If a wife hanged herself in her house, the husband was accused of being the cause. He was despoiled of all his possessions and his house was broken down"	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
526	syme	Cultural model	Bagisu	"If a wife hanged herself in her house, the husband was accused of being the cause. He was despoiled of all his possessions and his house was broken down"	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
527	zgarfield	Cultural model	Banyoro	"Suicide is not uncommon in Bunyoro, especially among [p. 180] women. It is almost invariably carried out by hanging from a tree. The proper mode of burial is to dig a grave directly under the tree so that when the rope or cloth is cut the corpse falls directly into it. The tree has to be uprooted and completely burned; if this is not done it is believed that it may exercise an evil influence, (59) and other people will be drawn to hang themselves on it."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence
527	syme	Cultural model	Banyoro	"Suicide is not uncommon in Bunyoro, especially among [p. 180] women. It is almost invariably carried out by hanging from a tree. The proper mode of burial is to dig a grave directly under the tree so that when the rope or cloth is cut the corpse falls directly into it. The tree has to be uprooted and completely burned; if this is not done it is believed that it may exercise an evil influence, (59) and other people will be drawn to hang themselves on it."	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence
528	zgarfield	Cultural model	Banyoro	"(2) It is still not uncommon for girls to be forced into marriages against their will, and I have recorded cases of suicide arising from this cause"	Evidence for	No evidence	No evidence	Evidence for	Evidence for	Evidence against	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence against	No evidence	No evidence	Evidence for	No evidence	Evidence for
528	syme	Cultural model	Banyoro	"(2) It is still not uncommon for girls to be forced into marriages against their will, and I have recorded cases of suicide arising from this cause"	Evidence for	No evidence	No evidence	Evidence for	Evidence for	Evidence against	No evidence	Evidence against	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for
