id	field_years	location	title	year	authors	publisher
1	1941-1942	"Ashanti; districts of Mampong, Wenchi, and Kumasi, Ghana"	The position of the chief in the modern political system of the Ashanti: a study of the influence of contemporary social change on Ashanti political institutions	1951	"Busia, Kofi Abrefa"	London: The Oxford University Press for the International African Institute
2		"Ghana, 1850-1960."	Witchcraft in Ghana: a study on the belief in destructive witches and its effect on the Akan tribes	1961	"Debrunner, Hans W."	Accra: Presbyterian Book Depot Ltd.
3	"1937, Dec. 1955 - Feb. 1958"	Ashanti; Ghana	Search for security: an ethno-psychiatric study of rural Ghana	1970	"Field, Margaret Joyce"	"New York, N.Y.: W. W. Norton & Company, Inc."
4		"Ashanti; Ghana, 1817-1900"	The Asante	1981	"McLeod, Malcolm D."	London: British Museum Publications
5	1945-1967	"Ghana, 1000-1750"	The early history of the Akan states of Ghana	1974	"Meyerowitz, Eva Lewin-Richter"	London: Red Candle Press
6	1921-192?	Ashanti; Ghana	Ashanti law and constitution	1929	"Rattray, Robert Sutherland"	"Oxford, England: Clarendon Press"
7		"Ghana, 1472-1906"	"Fanti national constitution: a short treatise on the constitution and government of the Fanti, Asanti, and other Akan tribes of West Africa, together with a brief account of the discovery of the Gold Coast by Portuguese navigators, a short narration of early English voyages, and a study of the rise of British Gold Coast jurisdiction, etc., etc."	1968	"Sarbah, John Mensah"	London: Cass
8		"Ashanti; Ghana, 1920-1970"	Girls' nubility rites on Ashanti	1977	"Sarpong, Peter"	"Tema, Ghana: Ghana Pub. Corp."
9		Ghana	The Akan of Ghana: an overview of the ethnographic literature	1986	"Warren, Dennis M."	Accra: Pointer Ltd.
10		"Ghana, 1900 - 1980s"	Forests of gold: essays on the Akan and the Kingdom of Asante	1993	"Wilks, Ivor"	"Athens, Ohio: Ohio University Press"
11	1926-1930	"Zande District, Sudan, 1800s-1930"	"Witchcraft, oracles and magic among the Azande"	1937	"Evans Pritchard, Edward Evan"	Oxford: Clarendon Press
12	1882-1886	"Sudan, Democratic Republic of the Congo, and Central African Republic, 1882-1886"	Travels in Africa during the years 1882-1886	1892	"Junker, Wilhelm"	"London: Chapman and Hall, Ltd."
13		"Bugisu District, Mount Elgon region, Uganda, 1890-1954"	The Gisu of Uganda	1959	"La Fontaine, Jean Sybil"	London: International African Institute
