INST 	REGION	SUBREGION	CULTURE	OWC	SUBSISTENCE TYPE	PSF	SRS
E43	Asia	East Asia	Taiwan Hokkien	AD05	intensive agriculturalists	PSF	
E43	Asia	South Asia	Andamans	AZ02	hunter-gatherers	PSF	
E43	Europe	British Isles	Highland Scots	ES10	other subsistence combinations	PSF	
E43	Africa	Central Africa	Mbuti	FO04	hunter-gatherers	PSF	
E43	Africa	Southern Africa	Lozi	FQ09	other subsistence combinations	PSF	
E43	Africa	Northern Africa	Shluh	MW11	intensive agriculturalists	PSF	
E43	North America	Regional and Ethnic Cultures	Chinese Canadians	NC04	commercial economy		
E43	North America	Regional and Ethnic Cultures	Chinese Americans	NK06	commercial economy		
E43	North America	Regional and Ethnic Cultures	Cajuns	NO12	other subsistence combinations		
E43	Middle America and the Caribbean	Maya Area	Tzeltal	NV09	horticulturalists	PSF	
E43	Asia	Southeast Asia	Iban	OC06	horticulturalists	PSF	
E43	Oceania	Melanesia	Trobriands	OL06	horticulturalists	PSF	
E43	Oceania	Polynesia	Tikopia	OT11	horticulturalists	PSF	
E43	South America	Central Andes	Aymara	SF05	horticulturalists	PSF	
E43	South America	Amazon and Orinoco	Yanoama	SQ18	horticulturalists	PSF	
E44	Asia	South Asia	Khasi	AR07	other subsistence combinations	PSF	
E44	Europe	Scandinavia	Saami	EP04	pastoralists	PSF	
E44	Africa	Eastern Africa	Maasai	FL12	pastoralists	PSF	
E44	Middle East	Middle East	Kurds	MA11	pastoralists	PSF	
E44	North America	Regional and Ethnic Cultures	North American Hasidic Jews	N011	commercial economy		
E44	North America	Regional and Ethnic Cultures	North American Armenians	N016	commercial economy		
E44	North America	Arctic and Subarctic	Copper Inuit	ND08	hunter-gatherers	PSF	
E44	North America	Eastern Woodlands	Iroquois	NM09	horticulturalists	PSF	
E44	Oceania	Australia	Aranda	OI08	hunter-gatherers	PSF	
E44	Oceania	Polynesia	Lau Fijians	OQ06	other subsistence combinations	PSF	
E44	Asia	North Asia	Chukchee	RY02	pastoralists	PSF	
E44	South America	Southern South America	Ona	SH04	hunter-gatherers	PSF	
E44	South America	Eastern South America	Bororo	SP08	hunter-gatherers	PSF	
E45	Asia	South Asia	Sinhalese	AX04	intensive agriculturalists	PSF	
E45	Europe	Southeastern Europe	Croats	EF04	commercial economy		
E45	Europe	Southeastern Europe	Montenegrins	EF05	agro-pastoralists		
E45	Europe	Southeastern Europe	Serbs	EF06	intensive agriculturalists	PSF	
E45	Europe	Southeastern Europe	Slovenes	EF07	intensive agriculturalists		
E45	Europe	Southeastern Europe	Bosnian Muslims	EF09	commercial economy		
E45	Africa	Southern Africa	Bemba	FQ05	horticulturalists	PSF	
E45	Africa	Eastern Africa	Somali	MO04	pastoralists	PSF	
E45	Africa	Western Africa	Hausa	MS12	other subsistence combinations	PSF	
E45	North America	Regional and Ethnic Cultures	Serbian Americans	N017	commercial economy		
E45	North America	Regional and Ethnic Cultures	Basque Americans	N018	pastoralists		
E45	North America	Regional and Ethnic Cultures	Korean Americans	N019	commercial economy		
E45	North America	Northwest Coast and California	Tlingit	NA12	hunter-gatherers	PSF	
E45	Middle America and the Caribbean	Northern Mexico	Tarahumara	NU33	agro-pastoralists	PSF	
E45	Asia	Southeast Asia	Eastern Toraja	OG11	horticulturalists	PSF	
E45	Asia	Southeast Asia	Southern Toraja	OG13	intensive agriculturalists		
E45	Asia	North Asia	Yakut	RV02	other subsistence combinations	PSF	
E45	South America	Northwestern South America	Kogi	SC07	horticulturalists	PSF	
E45	South America	Southern South America	Mataco	SI07	primarily hunter-gatherers	PSF	
E46	Asia	East Asia	Korea	AA01	intensive agriculturalists	PSF	
E46	Asia	South Asia	Santal	AW42	intensive agriculturalists	PSF	
E46	Africa	Western Africa	Tiv	FF57	horticulturalists	PSF	
E46	Africa	Eastern Africa	Ganda	FK07	intensive agriculturalists	PSF	SRS
E46	Africa	Eastern Africa	Amhara	MP05	intensive agriculturalists	PSF	
E46	Africa	Western Africa	Kanuri	MS14	intensive agriculturalists	PSF	
E46	North America	Regional and Ethnic Cultures	Haitian Americans	NK07	commercial economy		
E46	North America	Regional and Ethnic Cultures	Cuban Americans	NK08	commercial economy		
E46	North America	Plains and Plateau	Pawnee	NQ18	primarily hunter-gatherers	PSF	
E46	North America	Plains and Plateau	Klamath	NR10	hunter-gatherers	PSF	
E46	Oceania	Melanesia	Kapauku	OJ29	intensive agriculturalists	PSF	
E46	South America	Eastern South America	Guaraní	SM04	other subsistence combinations	PSF	
E46	South America	Amazon and Orinoco	Tukano	SQ19	other subsistence combinations	PSF	SRS
E47	Asia	South Asia	Garo	AR05	horticulturalists	PSF	
E47	Africa	Central Africa	Azande	FO07	horticulturalists	PSF	
