extract.id,document.id,document.year
1,1,1951
2,1,1951
3,1,1951
4,2,1961
5,2,1961
6,3,1970
7,4,1981
8,5,1974
10,5,1974
13,6,1929
14,6,1929
15,6,1929
16,6,1929
17,7,1968
18,8,1977
19,8,1977
20,9,1986
21,9,1986
23,9,1986
24,9,1986
25,10,1993
26,10,1993
27,11,1937
28,12,1892
29,14,1989
30,20,1923
31,21,1935
32,21,1935
34,24,1970
35,24,1970
36,24,1970
38,24,1970
39,25,1911
41,26,1954
42,27,1987
43,29,1997
44,33,1972
45,37,1971
46,38,1986
48,40,1963
51,41,1962
52,43,1954
53,44,1962
54,44,1962
55,44,1962
56,47,2000
57,48,1984
58,49,1955
59,49,1955
60,49,1955
61,49,1955
63,51,1969
64,52,1958
65,53,1990
66,54,1944
67,57,1974
68,58,1988
69,60,1966
71,61,1978
72,61,1978
73,61,1978
74,62,1979
75,63,1973
77,64,1904
79,64,1904
80,64,1904
81,64,1904
82,64,1904
83,64,1904
86,64,1904
87,64,1904
88,64,1904
89,64,1904
90,64,1904
93,64,1904
94,64,1904
98,64,1904
99,64,1904
100,64,1904
101,64,1904
102,64,1904
103,64,1904
106,64,1904
108,64,1904
109,64,1904
110,64,1904
112,64,1904
113,64,1904
115,64,1904
116,64,1904
117,65,1951
120,66,1950
121,67,1963
122,67,1963
123,68,1968
124,68,1968
125,68,1968
126,70,1893
127,71,1892
129,71,1892
130,71,1892
131,72,1930
132,73,1938
133,74,1971
134,74,1971
135,75,1986
136,76,1984
137,77,1874
138,77,1874
140,78,1982
141,79,0
142,79,0
143,79,0
144,80,1992
145,80,1992
146,80,1992
147,81,1911
148,83,1905
149,84,1938
150,84,1938
151,84,1938
152,84,1938
153,84,1938
154,84,1938
155,84,1938
156,84,1938
157,84,1938
158,84,1938
159,84,1938
160,84,1938
161,84,1938
162,86,1958
163,88,1963
164,94,1984
165,95,1949
166,96,1962
167,99,1973
168,100,1969
169,100,1969
170,100,1969
171,101,1966
172,102,1974
173,103,1978
174,104,1976
175,106,1979
176,106,1979
177,107,1980
178,107,1980
179,108,1980
180,109,1972
181,109,1972
182,110,1968
183,111,1993
184,111,1993
185,113,1981
186,115,1990
187,116,1820
188,116,1820
189,117,1978
190,118,1962
191,119,1704
192,120,1982
193,122,0
194,123,1983
195,123,1983
196,123,1983
197,124,1990
198,124,1990
199,128,1963
200,129,1952
201,129,1952
202,129,1952
203,129,1952
204,129,1952
205,129,1952
206,130,1902
207,130,1902
208,130,1902
209,131,1967
210,134,1961
211,135,1930
212,135,1930
213,135,1930
214,135,1930
215,136,1972
216,138,1978
217,140,1962
218,141,1966
219,143,1977
220,144,1980
221,145,1968
222,145,1968
223,145,1968
224,146,1979
225,147,1987
226,149,1966
227,150,1958
228,151,1988
229,153,1982
230,156,1987
231,156,1987
233,156,1987
234,156,1987
235,156,1987
236,156,1987
237,157,1986
238,157,1986
239,158,1972
240,159,1932
241,159,1932
242,160,1819
243,160,1819
244,160,1819
245,160,1819
246,165,1984
247,166,1951
248,166,1951
249,166,1951
251,166,1951
252,167,1935
253,167,1935
254,168,1992
255,168,1992
256,169,1942
257,170,1972
258,170,1972
259,170,1972
260,170,1972
261,170,1972
262,170,1972
263,171,1971
264,172,1900
266,175,1981
267,176,1969
268,176,1969
269,176,1969
270,177,1998
271,178,1988
272,179,1993
273,180,1930
274,183,1964
275,184,1966
276,185,1957
277,187,1978
278,190,1940
279,191,1954
280,191,1954
281,191,1954
282,193,1970
283,193,1970
284,193,1970
285,193,1970
286,193,1970
287,195,1994
288,195,1994
289,195,1994
290,196,1987
291,197,1986
292,197,1986
293,198,1998
294,198,1998
295,200,1951
296,201,1937
297,203,1994
298,203,1994
300,203,1994
301,203,1994
303,204,1962
305,204,1962
306,204,1962
307,204,1962
308,204,1962
309,205,1992
310,205,1992
311,206,1985
312,206,1985
314,206,1985
315,206,1985
317,207,1981
318,208,1830
319,208,1830
320,208,1830
321,209,1933
323,210,1989
324,211,1965
325,213,1926
326,214,1995
327,214,1995
328,214,1995
329,214,1995
330,215,1984
331,216,1981
332,217,1958
333,218,1998
334,219,1965
335,221,1989
336,222,1972
337,222,1972
338,222,1972
339,222,1972
340,222,1972
341,223,1991
342,223,1991
344,224,1914
345,224,1914
346,225,1989
347,225,1989
349,225,1989
350,226,1896
351,227,1956
352,227,1956
353,227,1956
355,228,1954
357,229,1967
358,229,1967
359,231,1939
360,233,1942
361,233,1942
362,234,1976
363,235,1969
364,235,1969
365,235,1969
366,236,1971
367,239,1927
368,239,1927
369,239,1927
370,239,1927
371,240,1977
372,240,1977
374,240,1977
375,241,1950
376,241,1950
378,242,1953
379,242,1953
380,242,1953
381,242,1953
382,242,1953
383,242,1953
384,242,1953
385,242,1953
386,243,1987
387,243,1987
389,243,1987
390,245,1932
391,246,1971
392,247,1990
393,248,1979
394,248,1979
395,249,1992
396,250,1934
397,251,1980
398,253,1930
399,253,1930
400,253,1930
401,253,1930
402,253,1930
403,253,1930
404,254,1928
406,257,1967
407,257,1967
408,257,1967
409,257,1967
410,257,1967
411,257,1967
412,257,1967
413,257,1967
414,257,1967
415,257,1967
416,258,1961
417,258,1961
418,258,1961
419,259,1959
420,259,1959
421,259,1959
422,260,1956
423,261,1951
424,261,1951
425,262,1949
426,263,1940
427,265,1936
428,265,1936
429,265,1936
431,265,1936
432,265,1936
433,266,1930
434,267,1930
435,268,1914
436,268,1914
437,268,1914
439,269,1957
441,270,0
442,270,0
443,271,1929
444,271,1929
445,271,1929
446,271,1929
448,271,1929
449,272,1926
450,272,1926
451,272,1926
452,274,1916
453,274,1916
454,275,1926
455,276,0
457,276,0
458,277,1969
460,277,1969
461,278,1964
462,280,1951
463,280,1951
464,281,1957
465,282,1985
466,282,1985
467,282,1985
468,283,1953
469,284,1995
471,284,1995
473,285,1951
474,285,1951
475,285,1951
476,285,1951
477,285,1951
478,285,1951
479,286,1950
480,286,1950
481,287,1963
482,288,1944
483,289,1943
484,290,1960
485,290,1960
486,291,1990
487,292,1961
488,292,1961
489,292,1961
490,292,1961
491,292,1961
492,294,1991
493,295,1980
494,298,1931
495,298,1931
496,299,1934
497,299,1934
498,299,1934
499,300,1990
500,300,1990
501,301,1975
502,302,1982
503,303,1963
504,304,1962
505,305,1922
506,342,1975
507,344,1956
508,346,1987
509,348,1996
510,348,1996
511,348,1996
512,348,1996
513,352,1903
514,352,1903
515,831,1940
516,24,1970
518,6,1929
519,13,1959
520,13,1959
521,13,1959
522,13,1959
523,13,1959
524,14,1989
525,15,1924
526,15,1924
527,16,1961
528,17,1958
529,18,1971
530,19,1960
531,20,1923
532,20,1923
533,20,1923
534,20,1923
535,20,1923
536,20,1923
537,21,1935
538,21,1935
539,21,1935
540,22,1941
541,23,1941
542,24,1970
543,28,1966
544,28,1966
545,30,1970
546,31,1966
547,32,1970
548,32,1970
549,32,1970
550,32,1970
551,32,1970
552,34,1958
553,35,1914
554,36,1913
555,42,1956
556,46,1934
557,56,1975
558,58,1988
559,59,1975
560,83,1905
561,83,1905
562,83,1905
563,87,1966
564,87,1966
565,89,1982
566,90,1980
567,90,1980
568,93,1965
569,92,1991
570,92,1991
571,96,1962
572,98,1985
573,13,1959
574,112,1969
575,125,1975
576,126,1934
577,126,1934
578,127,1945
579,132,1953
580,133,2003
581,139,1958
582,142,1950
583,148,1968
584,160,1819
585,161,1991
590,162,1956
591,164,1910
592,163,1950
594,174,1975
595,177,1998
596,186,1947
597,186,1947
598,186,1947
599,186,1947
600,186,1947
601,185,1957
602,185,1957
603,185,1957
604,185,1957
606,185,1957
607,183,1964
608,182,1900
609,182,1900
610,182,1900
611,182,1900
612,181,1908
613,181,1908
614,181,1908
617,188,1978
618,188,1978
619,189,1970
620,190,1940
621,192,1978
622,193,1970
623,196,1987
624,196,1987
625,199,1990
627,204,1962
630,206,1985
631,210,1989
632,214,1995
633,220,1955
634,223,1991
635,224,1914
636,271,1929
637,193,1970
638,1,1951
639,782,1976
640,782,1976
641,783,1977
642,784,1981
643,781,1967
644,785,1987
645,785,1987
646,785,1987
647,785,1987
648,229,1967
649,230,1971
650,232,1971
651,233,1942
652,235,1969
653,235,1969
654,237,1993
655,237,1993
656,237,1993
657,238,1972
658,242,1953
659,248,1979
660,250,1934
661,250,1934
662,250,1934
663,251,1980
664,251,1980
665,251,1980
666,252,1969
667,253,1930
668,253,1930
669,254,1928
670,255,1916
672,257,1967
673,259,1959
674,264,1939
675,269,1957
676,270,0
677,270,0
679,292,1961
680,293,1973
681,293,1973
682,293,1973
683,295,1980
684,296,1979
685,296,1979
686,305,1922
687,306,1972
688,306,1972
689,307,1946
690,315,1973
691,315,1973
692,316,1962
693,316,1962
694,317,1978
695,309,1988
696,310,1979
697,311,1934
698,312,1979
699,313,1981
700,318,1980
701,319,1980
702,319,1980
703,319,1980
704,319,1980
705,320,1932
706,320,1932
707,320,1932
708,320,1932
709,321,1961
710,322,1957
711,322,1957
712,323,1954
713,324,1952
714,325,1946
715,326,1994
716,326,1994
717,327,2004
718,328,1954
719,329,1993
720,330,1991
721,331,1998
722,332,1997
723,332,1997
724,332,1997
725,332,1997
726,332,1997
727,332,1997
728,332,1997
729,332,1997
730,333,1989
731,333,1989
732,333,1989
733,333,1989
734,334,1804
735,335,1840
736,335,1840
737,335,1840
738,335,1840
739,336,1840
740,336,1840
741,337,1970
742,340,1953
743,341,1992
744,343,1935
745,345,1921
746,346,1987
747,348,1996
748,355,1973
749,356,1935
750,350,1894
751,350,1894
752,351,1906
753,353,1987
754,354,1928
755,354,1928
756,358,1923
757,357,1930
758,360,2000
759,363,1969
760,364,1916
761,365,1904
762,365,1904
763,365,1904
764,366,1998
765,367,1927
766,368,1994
767,368,1994
768,369,1983
769,369,1983
770,370,1994
772,371,1967
773,372,1910
774,373,1996
775,374,1933
776,375,1985
777,376,1999
786,377,1909
787,377,1909
788,377,1909
