id,Cause_type2
1,military_defeat
2,"military_defeat,failure or sense of"
3,accus_commit_wrongdo
4,"accus_commit_wrongdo,rejection,ridicule,disconnected from fa"
5,accus_commit_wrongdo
6,"interpersonal_confli,accus_commit_wrongdo,rejection,spirit_attack,disconnected from fa,loss of children"
7,accus_commit_wrongdo
8,"loss_social_position,failure or sense of"
10,"enslavement_capture,military_defeat,loss_social_position,failure or sense of"
13,"accus_commit_wrongdo,ridicule"
14,accus_commit_wrongdo
15,accus_commit_wrongdo
16,accus_commit_wrongdo
17,"interpersonal_confli,accus_commit_wrongdo,political unrest,physical abuse"
18,"accus_commit_wrongdo,family shame"
19,"accus_commit_wrongdo,ridicule,family shame"
20,unknown
21,unknown
23,accus_commit_wrongdo
24,accus_commit_wrongdo
25,spirit_attack
26,unknown
27,"interpersonal_confli,accus_commit_wrongdo"
28,"interpersonal_confli,forced marriage"
34,inability to have ch
35,"interpersonal_confli,inability to have ch,divorce,mental illness"
36,illness
38,"interpersonal_confli,spirit_attack"
39,accus_commit_wrongdo
41,"interpersonal_confli,forced marriage,thwarted marriage"
45,"interpersonal_confli,divorce or attempted"
46,"interpersonal_confli,forced marriage,thwarted marriage"
48,"enslavement_capture,accus_commit_wrongdo,imprisonment,fear of imprisonment"
51,death_loved_one
58,accus_commit_wrongdo
59,spirit_attack
60,interpersonal_confli
61,spirit_attack
63,group_conflict
64,"accus_commit_wrongdo,mental illness"
65,unknown
69,interpersonal_confli
71,unknown
72,rejection
73,"interpersonal_confli,family tension"
74,"rejection,loss_social_position,resource_loss,divorce or attempted"
75,spirit_attack
77,interpersonal_confli
79,death_loved_one
80,death_loved_one
81,"death_loved_one,disease outbreak,bad luck,fear of loss"
82,death_loved_one
83,thwarted purpose
86,"interpersonal_confli,divorce or attempted,bring in cowife"
87,"interpersonal_confli,accus_commit_wrongdo,rejection,ridicule,no or low contributi"
88,unknown
89,illness
90,"infirmity,senility,illness"
93,fear of loss
94,"interpersonal_confli,family tension"
98,death_loved_one
99,illness
100,illness
101,illness
102,unknown
103,unknown
106,interpersonal_confli
108,"interpersonal_confli,family tension,"
109,death_loved_one
110,"illness,psychological distre,x"
112,spirit_attack
113,interpersonal_confli
115,military_defeat
116,death_loved_one
117,"interpersonal_confli,forced marriage"
120,"accus_commit_wrongdo,military_defeat,loss_social_position,ridicule"
121,illness
122,"infirmity,senility,illness"
123,"rejection,failed romantic rela"
124,unknown
125,unknown
126,"enslavement_capture,accus_commit_wrongdo,loss_social_position,resource_loss"
127,"ridicule,fear of enslavement"
129,"enslavement_capture,loss_social_position,ridicule,fear of enslavement"
130,"interpersonal_confli,thwarted marriage"
131,"interpersonal_confli,accus_commit_wrongdo,resource_loss,owed debt,divorce or attempted"
132,interpersonal_confli
133,interpersonal_confli
134,"interpersonal_confli,resource_loss,bring in cowife"
135,interpersonal_confli
136,unknown
137,"group_conflict,enslavement_capture,military_defeat,fear of rape"
138,death_loved_one
140,unknown
141,"group_conflict,military_defeat"
142,"group_conflict,military_defeat"
143,"group_conflict,military_defeat"
144,unknown
145,inability to marry
146,labor exploitation
147,"enslavement_capture,labor exploitation"
164,"accus_commit_wrongdo,imprisonment"
165,rejection
166,"rejection,failed romantic rela"
167,"death_loved_one,ridicule"
168,"interpersonal_confli,thwarted marriage"
169,"disappointment in ma,divorce or attempted"
170,interpersonal_confli
171,"interpersonal_confli,thwarted marriage"
172,"interpersonal_confli,family tension,failed expectations"
173,"interpersonal_confli,resource_loss"
174,"loss_social_position,resource_loss"
