id	coder	content_type	culture	extract	Acquired_ability	Afterlife	Age	Cause	Cause_type	Childhood_adversity	Childhood_adversity_type	Conflict	Conflict_description	Cultural_evaluation	Emic_Etic_Model	Evidence_Mental_Illness	Evidence_of_burdensomeness	Family_History_MI	Family_History_SB	Fantasy_irrational_thought	Fitness_threat	Forgiveness	High_RP	Hoplessness	Knowledge_type_Model	Lethality_n_attempt	Low_RP	Low_level_thinking	Low_self_esteem	MI_family_member	MI_type_family	MI_type_victim	Married	Method	Motive	Motive_better_off_kin	Motive_escape	Motive_harm_others	Motive_leverage	Motive_make_others_better_off	Outcome_better_off	Outcome_change	Outcome_others_harmed	Painful_affect	Passivity	Reduced_inhibition	SA_age	SA_relationship	SA_sex	SB_family_member	Sense_of_burdensomeness	Sex	Target	Target_fitness	Thwarted_belongingness	Traumatic_events	Type_of_SB	age_exact	aggression	ailment_type	ailments	behavioral	case_score	childhood_adversity_description	cognitive	concomitants	dependents	emotional	evidence_hoplessness	family_history	funerary_body	funerary_rites	group_size	mental_illness	outcome	phys_ailments	powerlessness	public_private	ritualized	social_isolation	social_status	type_of_account
1	admin	Case	Akan	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.	Evidence for	x	adult	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.	military defeat	No evidence	na	Evidence for	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.	unknown	na	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	No evidence	na	Evidence against	Evidence against	No evidence	No evidence	na	na	na	No evidence	blew_up	x		No evidence	No evidence	No evidence		No evidence	Evidence against	No evidence	No evidence	Evidence against	No evidence	adult	outgroup		na	Evidence for	male	x	Evidence against		war,combat,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	x	4	x	x	x	unknown	x	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.	x	x	not stated	many	x	x	x		public	unknown	No evidence		unknown
1	zgarfield	Case	Akan	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.	Evidence for	x	adult	the Juabens were so successful 		No evidence	na	Evidence for	the Juabens were so successful 	unknown	na	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for		Evidence for	No evidence	na	Evidence against	Evidence against	No evidence	No evidence	na	na	na	No evidence	blew_up	x	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	adult	outgroup	male	na	Evidence for	male		Evidence against	Evidence for	war,combat,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	combat	4	x	x		unknown	x	x	x	x	not stated	>2	x	x	x	Evidence for	public	na	No evidence		unknown
1	syme	Case	Akan	At first the Juabens were so successful that [p. 55] many of the Kumasi captains, among whom were the Adumhene, the Anantahene, and the Nseniahene of Kumasi, blew themselves up.																																No evidence				No evidence									na																												Evidence for				low	
2	admin	Cultural model	Akan	A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.	Evidence for	x	adult	A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.	military defeat	No evidence	na	Evidence for	Conflict with outgroup and ingroup: A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.	approvingly	emic	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	Evidence for	Evidence for	No evidence	popular	Evidence against	Evidence against	No evidence	No evidence	na	na	na	No evidence	not stated	avoid disgrace		Evidence for	Evidence against	Evidence against		No evidence	No evidence	No evidence	Evidence for	No evidence	No evidence	na	ingroup and outgroup	na	na	Evidence for	male	x	Evidence against		war,combat,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	x	6	x	x	x	unknown	A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.	x	x	x	not stated	1	x	avoid disgrace	x		public	yes	No evidence		na
2	zgarfield	Cultural model	Akan	A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.	Evidence for	x	adult			No evidence	na	Evidence for		approvingly	emic	No evidence	No evidence	No evidence	No evidence	No evidence	Evidence for	No evidence	Evidence for	No evidence	popular	No evidence	Evidence against	No evidence	No evidence	na	na	na	No evidence	na	x	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	multiple social doma	na	na	Evidence for	male	x	No evidence	Evidence for	war,combat,witness violence,perpetrate violence	completion	x	Evidence for	na	no evidence of ailme	combat	x	x	x		na	x	x	x	x	not stated	x	x	x	x	Evidence for	na	yes	Evidence for		
2	syme	Cultural model	Akan	A defeated Ashanti captain was always expected to commit suicide. Death, to the Ashanti, was preferable to disgrace.																																No evidence				No evidence																																										
3	admin	Case	Akan	As regards the suicide, the presumption was that he had killed himself because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life. The dead body was tried again and found guilty. Where the motive was not known the sentence was: 'Whatever evil you did, since you did not bring it before the chief to be inquired into with a good hearing...then have we found you guilty.' The relatives, on behalf of the suicide, acknowledged the evil he had done. A sentence of death was duly passed and the dead body was beheaded. This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.	No evidence	This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.	unknown	the presumption was that he had killed himself because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life.	accus_commit wrongdo	No evidence	na	No evidence	x	disapprovingly,ambivalently	na	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	not stated	instead of waiting to be tried by the central authority, had taken his own life.		Evidence for	No evidence	No evidence		No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	x	na	na	Evidence for	male	x	No evidence		no evidence	completion	x	No evidence	na	no evidence of ailme	x	4	x	x	x	unknown	x	x	x	the dead body was beheaded.	yes	1	x	The dead body was tried again and found guilty...The relatives, on behalf of the suicide, acknowledged the evil he had done. A sentence of death was duly passed and the dead body was beheaded. This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.	x	No evidence	unknown	no	No evidence	low	secondhand
3	zgarfield	Case	Akan	As regards the suicide, the presumption was that he had killed himself because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life. The dead body was tried again and found guilty. Where the motive was not known the sentence was: 'Whatever evil you did, since you did not bring it before the chief to be inquired into with a good hearing...then have we found you guilty.' The relatives, on behalf of the suicide, acknowledged the evil he had done. A sentence of death was duly passed and the dead body was beheaded. This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.	No evidence	x	unknown			No evidence	na	No evidence		disapprovingly	na	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence		No evidence	No evidence	na	No evidence	No evidence	No evidence	No evidence	na	na	na	No evidence	na	because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life	No evidence	Evidence for	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	unknown	na	na	Evidence for	male		No evidence	Evidence for	unknown	completion	x	No evidence	na	no evidence of ailme	x	4	x	x		unknown	x	x	x	A sentence of death was duly passed and the dead body was beheaded. 	yes	1	x	The dead body was tried again and found guilty.	x	No evidence	unknown	unknown	No evidence		unknown
3	syme	Case	Akan	As regards the suicide, the presumption was that he had killed himself because he had committed a sin which was a taboo and, instead of waiting to be tried by the central authority, had taken his own life. The dead body was tried again and found guilty. Where the motive was not known the sentence was: 'Whatever evil you did, since you did not bring it before the chief to be inquired into with a good hearing...then have we found you guilty.' The relatives, on behalf of the suicide, acknowledged the evil he had done. A sentence of death was duly passed and the dead body was beheaded. This put the community right again with the ancestors, and the evil spirit of the suicide (t[unavailable]fo sasa) would no longer disturb the living.																																No evidence				No evidence																																										
4	admin	Case	Akan	"it was that of telling or expecting the person found guilty to commit suicide.(42) The same Rev. Mader reports another case of ""carrying the corpse"", where the ""guilty person"" was a mother of eight children. Through fear of the government-since two soldiers happened to be in town-she was not lynched but socially ostracized. Everybody avoided her. Her relatives told her to take courage and kill herself. She even went to see the paramount chief to ask for her death, but was refused-again for fear of the Government. She was then taken into custody in the house of an elder. There the constant mockery so distressed her, that she finally asked permission to fetch firewood in the bush and there she hanged herself."	Evidence for	x	adult	it was that of telling or expecting the person found guilty to commit suicide...she was not lynched but socially ostracized. Everybody avoided her. Her relatives told her to take courage and kill herself...She was then taken into custody in the house of an elder. There the constant mockery so distressed her, that she finally asked permission to fetch firewood in the bush and there she hanged herself.	accus_commit wrongdo,rejection	No evidence	na	No evidence	x	approvingly	na	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	No evidence	na	Evidence against	No evidence	No evidence	No evidence	na	na	na	Evidence for	hanging	x		Evidence for	No evidence	No evidence		Evidence against	No evidence	Evidence for	Evidence for	No evidence	No evidence	na	x	na	na	Evidence for	female	x	No evidence		no evidence	completion	x	No evidence	na	no evidence of ailme	asked for her death	5	x	x	x	yes	distress	x	x	x	not stated	1	x	x	x	Evidence for	private	yes	Evidence for	low	secondhand
